region,motif,frequency,zscore
FRP,1,0.0625,-0.4005051168903465
FRP,4,0.125,0.2448089854948426
FRP,10,0.0625,0.5683489752819575
FRP,13,0.0,-0.057831493196624346
MOp,1,0.05,0.04668804185216523
MOp,4,0.35,2.941558492424764
MOp,10,0.3,6.140295059366443
MOp,13,0.0,-0.35389284072072436
CA1,1,0.1111111111111111,0.4281261594345082
CA1,4,0.16666666666666666,0.8725243329175161
CA1,10,0.16666666666666666,3.03943147650786
CA1,13,0.0,-0.057831493196624346
DG,1,0.0,-1.2427166919380277
DG,4,0.0,-1.0449753421326968
DG,10,0.0,-0.6569847890778502
DG,13,0.0,-0.18569533817705144
